Timestamp,,,Country,How do you preferred login method for secure websites?,How many people live in your household? ,How many meals a week are cooked in your household?,How often does your household shop for groceries? ,What is the biggest challenge with cooking your household encounters?,"When searching for a recipe, what influences your household the most?",What is the top source for finding recipes within your household?,How are favorite recipes stored?,"Does your household use a mobile app(s) to help you manage your recipes, cooking tips, or dieting concerns? ","If the answer to the above question is yes, please enter the app name(s).",Does your household create a meal plan each week?,,Would your household benefit from a tool that helps get your meal plan on a calendar?,Gender,Age group,Would your household benefit from a tool that assists in organizing all of your recipes from different sources?
16/08/2020 11:16:18,,,United States,Login with Facebook,1,10+ Meals,Once a week,Kitchen clean up,"Dietary (Vegan, Keto, etc.)","Social Media Apps (Youtube, Instagram, etc.)",Pinterest,Yes,"Fitbit, Zero, Ate",Yes,,Maybe,Female,25-35,Maybe
16/08/2020 11:24:03,,,United States,Password only,1,10+ Meals,Once a week,Kitchen clean up,Key Ingredient(s),"Social Media Apps (Youtube, Instagram, etc.)",Mentally,No,,Yes,,No,Human,35-45,Maybe
16/08/2020 12:28:04,,,United States,Email & Password,4,4-6 Meals,Once a week,Space. Space in the kitchen. Space in the fridge. Space in the freezer. Meal prep takes up alot of space,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,Yes,,Yes,Female,Under 25,Maybe
16/08/2020 12:39:00,,,Canada,Email & Password,2,7-10 Meals,Once a week,Deciding what to cook,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Pinterest,No,,No,,Yes,Female,35-45,Yes
16/08/2020 18:40:28,,,United States,Login with Google,5,4-6 Meals,Once a week,Kitchen clean up,"Type of Cuisine (Italian, Mexican, etc.)","Internet (Blogs, Websites, etc.)",Recipe Box,No,,Yes,,Maybe,Female,25-35,Yes
16/08/2020 18:42:14,,,United States,Email & Password,1,7-10 Meals,Two or more times a week,Using everything I buy (avoiding waste),Key Ingredient(s),Cookbooks,"Digitally, in folders/directories and shared via email, then printed for use;.",No,,Yes,,Maybe,Male,45-55,No
16/08/2020 19:30:44,,,United States,Login with Google,3,10+ Meals,Once a week,Kitchen clean up,"Type of Cuisine (Italian, Mexican, etc.)","Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,Yes,,Yes,Female,Under 25,Maybe
16/08/2020 23:21:12,,,India,Email & Password,5,4-6 Meals,Once a week,Time Management,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Recipe Box,No,,Yes,,Yes,Male,Under 25,Yes
16/08/2020 23:27:57,,,United States,Email & Password,1,4-6 Meals,Once a week,Time Management,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Pinterest,No,,Yes,,No,Female,Under 25,Maybe
17/08/2020 02:46:12,,,Australia,Email & Password,3,4-6 Meals,Two or more times a week,Planning,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Recipe Management App(s),No,,No,,No,Female,45-55,Maybe
17/08/2020 07:14:31,,,United States,Login with Google,5,7-10 Meals,Once a week,Shopping for ingredients,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Physical Cookbook,No,,Yes,,Maybe,Male,45-55,Maybe
17/08/2020 07:47:52,,,United States,Login with Google,2,10+ Meals,Once a week,Planning,"Dietary (Vegan, Keto, etc.)","Social Media Apps (Youtube, Instagram, etc.)",Taking screenshots on my phone and organizing them in an album,No,,Yes,,Yes,Female,25-35,Yes
17/08/2020 08:17:28,,,United States,Email & Password,3,4-6 Meals,Every other week,Time Management,Time involved to prepare/cook,Family Recipes,Recipe Box,No,,No,,Maybe,Male,25-35,Yes
17/08/2020 09:52:35,,,United States,Login with Google,2,10+ Meals,Once a week,Time Management,calorie amount,"Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,Yes,,Yes,Female,25-35,Yes
17/08/2020 12:07:16,,,India,Email & Password,2,0-3 Meals,Once a week,Shopping for ingredients,"Type of Cuisine (Italian, Mexican, etc.)","Social Media Apps (Youtube, Instagram, etc.)",Pinterest,No,,No,,Yes,Female,Under 25,No
